"E3.5_ICM_R1"	"E3.5_ICM_R2"	"E3.5_ICM_R3"	"E4.5_EPI_R1"	"E4.5_EPI_R2"	"E4.5_EPI_R3"	"E5.5_EPI_R1"	"E5.5_EPI_R2"	"E5.5_EPI_R3"
"ENSMUSG00000097934"	1	20	3	1	8	7	4	4	2
"ENSMUSG00000025931"	15	14	1	1	6	13	10	6	76
"ENSMUSG00000077314"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000100929"	1	2	0	0	2	0	1	0	0
"ENSMUSG00000041809"	10	4	0	0	0	2	154	0	3
"ENSMUSG00000041779"	37	59	451	11	152	459	454	495	1046
"ENSMUSG00000099971"	3	0	0	0	0	0	1	0	1
"ENSMUSG00000100819"	0	0	0	2	1	0	0	0	11
"ENSMUSG00000025933"	3	0	285	1	16	357	342	269	146
"ENSMUSG00000102633"	117	195	28	167	335	128	380	450	22
"ENSMUSG00000025934"	252	3	682	1499	1112	0	7	37	115
"ENSMUSG00000099343"	21	999	347	62	2	221	0	0	0
"ENSMUSG00000096375"	1	1	0	0	0	0	0	0	0
"ENSMUSG00000025936"	27	0	125	0	0	1	0	0	1
"ENSMUSG00000093963"	2	13	1	0	1	1	0	0	0
"ENSMUSG00000067750"	3332	2468	1939	166	13	0	1	51	2
"ENSMUSG00000086194"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000094436"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000041722"	2745	2453	692	7	5	2	8	5	0
"ENSMUSG00000085507"	0	7	1	0	0	0	0	0	0
"ENSMUSG00000094926"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000085079"	4	1023	601	0	0	3	1	1	0
"ENSMUSG00000085679"	1	0	0	0	0	0	0	0	0
"ENSMUSG00000028033"	56	104	16	9	48	58	27	15	60
"ENSMUSG00000104138"	16	10	9	6	11	13	13	9	4
"ENSMUSG00000082935"	2386	1656	1167	1052	1815	1735	1871	1511	2435
"ENSMUSG00000103748"	1	1	0	0	0	0	0	0	0
"ENSMUSG00000097109"	1	4	0	2	3	0	2	2	3
"ENSMUSG00000099692"	1	9	7	0	5	0	1	3	2
"ENSMUSG00000100418"	1	0	0	0	0	2	2	2	1
"ENSMUSG00000041670"	16	20	153	21	14	12	173	76	102
"ENSMUSG00000097642"	0	0	0	0	0	0	1	1	0
"ENSMUSG00000101468"	7	2	2	1	3	1	6	5	0
"ENSMUSG00000101227"	3	3	34	0	0	5	1	0	0
"ENSMUSG00000073730"	23	7	7	1	17	7	15	16	5
"ENSMUSG00000089553"	0	0	0	0	1	1	1	0	0
"ENSMUSG00000102766"	2	6	0	1	0	1	0	1	5
"ENSMUSG00000065405"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000097970"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000065567"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000100775"	5	148	0	1	1	1	3	1	0
"ENSMUSG00000101226"	1	0	0	0	1	0	0	0	0
"ENSMUSG00000026158"	2400	1634	982	243	1680	2997	1633	1973	4488
"ENSMUSG00000097920"	31	18	21	29	35	90	73	75	145
"ENSMUSG00000099503"	2	4	0	0	1	3	2	2	1
"ENSMUSG00000026156"	10	287	12	27	7	13	7	7	13
"ENSMUSG00000026155"	1347	1671	2221	486	530	240	494	53	676
"ENSMUSG00000026154"	3066	1705	1936	398	1204	2670	1345	704	1750
"ENSMUSG00000102495"	2	1	2	0	0	2	1	15	3
"ENSMUSG00000026153"	41	25	459	179	87	574	1202	1587	3639
"ENSMUSG00000102398"	2	2	0	0	0	0	3	0	2
"ENSMUSG00000097670"	2	0	0	1	0	1	1	0	1
"ENSMUSG00000026147"	10	12	3	3	11	23	9	6	90
"ENSMUSG00000026141"	14	15	5	1	26	13	11	16	17
"ENSMUSG00000077463"	0	0	0	0	0	0	0	1	0
